17.01.2024			                         Remessas Diárias						  1

Remessas Diárias

		Descrição do Cliente		Un.	 Peso bruto	UM	Qtd.fornecida	Fornecim.

	*	ANIN IND E COM DE PAP LTDA		TON	   192,000	TON	     192,000
	*	FEX IND DE PAP LTDA		TON	   224,000	TON	     224,000
	*	Portocel - Term. Espec. Barra do Ri		TON	73.994,000	TON	  73.994,000
	*	SANTHER FABRICA DE PAP STA THEREZIN		TON	   352,000	TON	     352,000
	*	SCHWEITZER MAUDUIT DO BRASIL IND E		TON	   612,000	TON	     612,000

	**			TON	75.374,000	TON	  75.374,000
